Everybody	1895,99.6013923298	1896,99.6149873816	1897,99.5917201843	1898,99.6013164723	1899,99.6622485994	1900,99.6693632209	1901,99.6745058891	1902,99.6558041462	1903,99.6659423511	1904,99.6864807233	1905,99.6815539816	1906,99.6810689908	1907,99.6943225413	1908,99.6912322708	1909,99.7099357883	1910,99.7229408118	1911,99.7227951592	1912,99.7364650291	1913,99.7300489626	1914,99.7277180154	1915,99.7177041132	1916,99.7283200173	1917,99.7317703586	1918,99.7234373757	1919,99.7462805975	1920,99.743545045	1921,99.7413256377	1922,99.7436494298	1923,99.6683012891	1924,99.6335705871	1925,99.6397782735	1926,99.6404564564	1927,99.6368410986	1928,99.6493578952	1929,99.6446382669	1930,99.6455796268	1931,99.6240203644	1932,99.6123965703	1933,99.5787797126	1934,99.602041668	1935,99.6402603238	1936,99.6224070826	1937,99.6395105862	1938,99.6270791218	1939,99.6395003234	1940,99.6370678505	1941,99.6474945483	1942,99.6372346478	1943,99.6487608065	1944,99.6450094382	1945,99.6723842734	1946,99.6891943871	1947,99.6937173115	1948,99.6913340287	1949,99.6743283616	1950,99.6947613898	1951,99.7046552739	1952,99.6910752057	1953,99.6822594508	1954,99.6797486347	1955,99.6868234425	1956,99.6951057727	1957,99.7003820022	1958,99.6971318773	1959,99.6871686918	1960,99.697526779	1961,99.702937223	1962,99.6998572421	1963,99.705649263	1964,99.6898147408	1965,99.7034649044	1966,99.7191749056	1967,99.735622889	1968,99.7535473931	1969,99.7557974046	1970,99.7624877996	1971,99.7526999517	1972,99.737706737	1973,99.7343106481	1974,99.7409878218	1975,99.7253035005	1976,99.7394088245	1977,99.7337237301	1978,99.7389539701	1979,99.7381128451	1980,99.7369205558	1981,99.7346002063	1982,99.7355105958	1983,99.7348478184	1984,99.7418522718	1985,99.7396628438	1986,99.7526355807	1987,99.752095939	1988,99.7603808222	1989,99.7658003526	1990,99.7680600561	1991,99.7687205703	1992,99.7814112772	1993,99.7772498669	1994,99.7777169723	1995,99.7786098204	1996,99.7879630499	1997,99.7830324727	1998,99.7776642373	1999,99.7892571343	2000,99.8108478492	2001,99.8112000365	2002,99.8126633155	2003,99.8214728029	2004,99.8235770644	2005,99.8215729807	2006,99.8149425663	2007,99.8147052168	2008,99.8099814751	2009,99.8306884587	2010,99.7882820843	2011,99.7950996578	2012,99.7945192888	2013,99.7879389566	2014,99.7735704054	2015,99.7339593775	2016,99.7188327652	2017,99.699181094	2018,99.7036024246	2019,99.6749252028
Perfect	1895,99.5960511775	1896,99.5342400055	1897,99.5668066658	1898,99.6148761	1899,99.5932184654	1900,99.5790271771	1901,99.5724346148	1902,99.5948777832	1903,99.6386177899	1904,99.5657129837	1905,99.6185532508	1906,99.6446062128	1907,99.6433266737	1908,99.6483140623	1909,99.6464421659	1910,99.6457454023	1911,99.6525446174	1912,99.6498383118	1913,99.6319800248	1914,99.6434927562	1915,99.617795448	1916,99.6516385668	1917,99.6310925914	1918,99.6303786685	1919,99.6509676147	1920,99.6643324481	1921,99.668088649	1922,99.6477931662	1923,99.5700801171	1924,99.4989139731	1925,99.5373239056	1926,99.5190937911	1927,99.5180786223	1928,99.5294805121	1929,99.4999375716	1930,99.5027943097	1931,99.4939798304	1932,99.4107568913	1933,99.371096498	1934,99.421783792	1935,99.4779425917	1936,99.4793119636	1937,99.5076870365	1938,99.485855185	1939,99.4640757509	1940,99.4872032548	1941,99.5057969363	1942,99.4477725324	1943,99.4335064003	1944,99.4222729712	1945,99.4713826827	1946,99.5373669552	1947,99.5767848105	1948,99.5609420594	1949,99.5476810589	1950,99.5935197404	1951,99.5796854149	1952,99.5944044325	1953,99.5885898403	1954,99.5809265954	1955,99.5974842152	1956,99.574950352	1957,99.586784475	1958,99.6011270984	1959,99.5971382615	1960,99.6026178679	1961,99.612528182	1962,99.5968454884	1963,99.6126466807	1964,99.5803959193	1965,99.6009506735	1966,99.615330789	1967,99.5837335895	1968,99.6105547144	1969,99.6159413787	1970,99.6222719715	1971,99.6010845673	1972,99.5798210347	1973,99.6002186673	1974,99.6087678282	1975,99.583686658	1976,99.5923820349	1977,99.6151165902	1978,99.6188393929	1979,99.6185835043	1980,99.6266714318	1981,99.6382010214	1982,99.6491001547	1983,99.6861410646	1984,99.7092357637	1985,99.6929138912	1986,99.7022317737	1987,99.7044285367	1988,99.7081796502	1989,99.73923705	1990,99.7258714284	1991,99.7301194311	1992,99.7363686544	1993,99.7412040446	1994,99.7302186336	1995,99.7394836416	1996,99.7468457417	1997,99.7498965741	1998,99.7664829417	1999,99.7515380624	2000,99.7624724978	2001,99.7728767534	2002,99.762315657	2003,99.7790105494	2004,99.7935448862	2005,99.772163198	2006,99.7783313841	2007,99.7702309875	2008,99.7699004085	2009,99.7800658364	2010,99.732083891	2011,99.7200297086	2012,99.7786423733	2013,99.7533409737	2014,99.7016229298	2015,99.7121435398	2016,99.6576808241	2017,99.6608983502	2018,99.626770547	2019,99.616889828
all	1895,99.9990775726	1896,99.9990035157	1897,99.9990663266	1898,99.9990553967	1899,99.9990788058	1900,99.9991140723	1901,99.9991145349	1902,99.9990969691	1903,99.9991136483	1904,99.9991148363	1905,99.9990984284	1906,99.9991076962	1907,99.9991067603	1908,99.9990976101	1909,99.9991815791	1910,99.9991853379	1911,99.9992068875	1912,99.9991989438	1913,99.9991935742	1914,99.9991731568	1915,99.9991785516	1916,99.9992012349	1917,99.9991909371	1918,99.9991678417	1919,99.9991875292	1920,99.9991840126	1921,99.9991887907	1922,99.9991836757	1923,99.99904116	1924,99.9989283731	1925,99.9990366741	1926,99.9989686349	1927,99.9990183611	1928,99.9990281033	1929,99.9990395629	1930,99.9990225414	1931,99.999001009	1932,99.9989428247	1933,99.9989013287	1934,99.9989526551	1935,99.9990266274	1936,99.9990168451	1937,99.99904161	1938,99.99903043	1939,99.9990698283	1940,99.9990873219	1941,99.9991062731	1942,99.9990287013	1943,99.999042782	1944,99.9989867939	1945,99.999061357	1946,99.9991010487	1947,99.999195359	1948,99.9991508866	1949,99.9992247104	1950,99.999230762	1951,99.9992261928	1952,99.9992172407	1953,99.9992290567	1954,99.9991874605	1955,99.9992171809	1956,99.9991930134	1957,99.9992301636	1958,99.9992429731	1959,99.9992809251	1960,99.999260563	1961,99.99930713	1962,99.9993143631	1963,99.9993437218	1964,99.9993119586	1965,99.9993874033	1966,99.9993750605	1967,99.9994210984	1968,99.9994347417	1969,99.9994346753	1970,99.9994389614	1971,99.9994002068	1972,99.9994055983	1973,99.9993919948	1974,99.9993909389	1975,99.9993722658	1976,99.9993939539	1977,99.999395082	1978,99.9993973609	1979,99.9993853216	1980,99.999337529	1981,99.9993742006	1982,99.9993130145	1983,99.9993554543	1984,99.9993601215	1985,99.9993716995	1986,99.9993556452	1987,99.9993621967	1988,99.9993375055	1989,99.9993583346	1990,99.9993661955	1991,99.9993615588	1992,99.9993683343	1993,99.9993802076	1994,99.9993594622	1995,99.9993828166	1996,99.9993679247	1997,99.9993564243	1998,99.9993549253	1999,99.9993580433	2000,99.9994179436	2001,99.9993650773	2002,99.9993589426	2003,99.9994075779	2004,99.9994038677	2005,99.999377541	2006,99.9993828639	2007,99.9993385438	2008,99.9993464083	2009,99.9993526059	2010,99.9992030153	2011,99.9991205001	2012,99.9991852635	2013,99.9991520102	2014,99.9990443887	2015,99.9989303202	2016,99.9988834617	2017,99.9987904346	2018,99.9988571918	2019,99.9987216878
since	1895,99.9914303517	1896,99.9907101944	1897,99.9907566334	1898,99.9911633886	1899,99.991263513	1900,99.9917980245	1901,99.991945124	1902,99.9919573815	1903,99.9918843422	1904,99.9914910069	1905,99.9914214096	1906,99.9917799892	1907,99.9914736209	1908,99.9917417656	1909,99.9915517841	1910,99.9921989928	1911,99.9928860211	1912,99.9922898341	1913,99.9922381517	1914,99.9926085225	1915,99.9922219102	1916,99.9927861526	1917,99.9924403183	1918,99.9925885898	1919,99.9924084758	1920,99.9931011973	1921,99.9929779696	1922,99.9937167765	1923,99.9919397513	1924,99.9912930317	1925,99.9918272676	1926,99.9921680713	1927,99.9921785544	1928,99.9925589159	1929,99.9923474849	1930,99.9927301518	1931,99.992351475	1932,99.9921042216	1933,99.9916569646	1934,99.9925376676	1935,99.9929351988	1936,99.9934251518	1937,99.9933811191	1938,99.9937886919	1939,99.993692273	1940,99.9941531559	1941,99.9939673432	1942,99.993995608	1943,99.9934789521	1944,99.9936751379	1945,99.9941041489	1946,99.9945790511	1947,99.994964505	1948,99.9951706678	1949,99.9952482252	1950,99.9954342001	1951,99.9950825802	1952,99.9955559472	1953,99.9952997328	1954,99.9954694767	1955,99.9954498641	1956,99.9953292591	1957,99.9953109964	1958,99.9957331209	1959,99.9956855503	1960,99.9959330966	1961,99.9960107483	1962,99.9960523935	1963,99.9962015411	1964,99.9962360087	1965,99.9962095578	1966,99.9964397385	1967,99.9964180465	1968,99.9965201288	1969,99.9963607224	1970,99.9964935085	1971,99.9962601127	1972,99.9963255167	1973,99.9962089085	1974,99.9962918929	1975,99.9963053357	1976,99.9962771452	1977,99.9962322249	1978,99.9961947647	1979,99.9962948551	1980,99.9961820749	1981,99.9961582869	1982,99.9960894674	1983,99.9960978852	1984,99.9961607292	1985,99.9961792538	1986,99.9961508279	1987,99.9961396118	1988,99.996126955	1989,99.9960841957	1990,99.9960671618	1991,99.99602202	1992,99.9960642368	1993,99.9958245563	1994,99.9957133242	1995,99.9957121996	1996,99.9958347859	1997,99.9957259971	1998,99.9957491228	1999,99.9957202886	2000,99.9957154184	2001,99.9957834621	2002,99.9956440974	2003,99.9957889997	2004,99.9957304038	2005,99.9954913784	2006,99.9955966505	2007,99.9954916535	2008,99.995248212	2009,99.9951265611	2010,99.9937749031	2011,99.9935426188	2012,99.9942759542	2013,99.9942972688	2014,99.9932855729	2015,99.9923433447	2016,99.9921556031	2017,99.9918959121	2018,99.9922347645	2019,99.9916909706
they	1895,99.9988692825	1896,99.9987785031	1897,99.998817347	1898,99.9988420992	1899,99.9988707942	1900,99.9989140241	1901,99.9989145912	1902,99.9989276509	1903,99.9989474573	1904,99.9989149606	1905,99.9989618266	1906,99.9989724987	1907,99.9989714209	1908,99.9989608844	1909,99.9989967744	1910,99.9990372175	1911,99.9990626852	1912,99.9990487458	1913,99.9990171686	1914,99.9989977658	1915,99.9988961787	1916,99.9990514664	1917,99.9990139546	1918,99.998985807	1919,99.9990351909	1920,99.9990603781	1921,99.9990113387	1922,99.9990352531	1923,99.9988314138	1924,99.9987274431	1925,99.9987880739	1926,99.9987430238	1927,99.9987650349	1928,99.9988155009	1929,99.9987917081	1930,99.9988087224	1931,99.9986888243	1932,99.9987115675	1933,99.9985579939	1934,99.9987235484	1935,99.9987126362	1936,99.99880178	1937,99.9988020125	1938,99.9987880374	1939,99.9987500818	1940,99.9988591524	1941,99.9988269834	1942,99.9988521015	1943,99.9988633036	1944,99.9988025746	1945,99.9988560289	1946,99.998910362	1947,99.9989098413	1948,99.9989386083	1949,99.9989245983	1950,99.9989826207	1951,99.9990015391	1952,99.9990152383	1953,99.9989554962	1954,99.998916614	1955,99.99897255	1956,99.9989484719	1957,99.9989968798	1958,99.999013571	1959,99.9990112719	1960,99.9990865778	1961,99.9991181654	1962,99.9991065943	1963,99.9991448496	1964,99.999089357	1965,99.9991959668	1966,99.9992046224	1967,99.9992401917	1968,99.9992934272	1969,99.9992756778	1970,99.9992811692	1971,99.9992943609	1972,99.9992074644	1973,99.9991952872	1974,99.9991759762	1975,99.9991570426	1976,99.9991861666	1977,99.9991876815	1978,99.9991735236	1979,99.9991804288	1980,99.9991980614	1981,99.9991656008	1982,99.9991720944	1983,99.9991812527	1984,99.9992044754	1985,99.9992188697	1986,99.9992199915	1987,99.9992447067	1988,99.9992355832	1989,99.9992596168	1990,99.9992686871	1991,99.9992797073	1992,99.9992873515	1993,99.9992986559	1994,99.9992937661	1995,99.9993016083	1996,99.9993355106	1997,99.9993399223	1998,99.9993218445	1999,99.9993251224	2000,99.9994017754	2001,99.9993813574	2002,99.9993918174	2003,99.9994396007	2004,99.9994199794	2005,99.9994111875	2006,99.9994162226	2007,99.999390764	2008,99.9993817376	2009,99.9994065554	2010,99.999332256	2011,99.9992593685	2012,99.9992897169	2013,99.9992792087	2014,99.9991952747	2015,99.999099217	2016,99.9990552369	2017,99.9990021086	2018,99.9990623112	2019,99.9989773502
just	1895,99.9920552219	1896,99.9919316913	1897,99.991845919	1898,99.9923517605	1899,99.9930464695	1900,99.9931983618	1901,99.9927448989	1902,99.99308617	1903,99.9931030758	1904,99.9930043513	1905,99.9931152714	1906,99.9932401227	1907,99.9932330324	1908,99.9933551292	1909,99.9935054341	1910,99.993927064	1911,99.9941357741	1912,99.9939670455	1913,99.9939014049	1914,99.9940617622	1915,99.993762126	1916,99.9943087986	1917,99.9940837274	1918,99.9942789114	1919,99.9945919911	1920,99.9946342645	1921,99.9943975858	1922,99.9945578379	1923,99.99328812	1924,99.9928334953	1925,99.9927284434	1926,99.9928449046	1927,99.9924635464	1928,99.993075236	1929,99.9929361399	1930,99.9929745164	1931,99.9920080718	1932,99.9920381482	1933,99.9909016281	1934,99.99237402	1935,99.9929665979	1936,99.9930564687	1937,99.9931115719	1938,99.9928191219	1939,99.9931109157	1940,99.9932119567	1941,99.9931574032	1942,99.9933186422	1943,99.9936584305	1944,99.9935830282	1945,99.9936054948	1946,99.9943611235	1947,99.9944194256	1948,99.994374624	1949,99.9939477395	1950,99.9946153338	1951,99.9947580804	1952,99.9947731879	1953,99.9947277426	1954,99.9946323148	1955,99.9949606022	1956,99.9950847177	1957,99.9952410113	1958,99.9951137353	1959,99.994876591	1960,99.9948891856	1961,99.9949609452	1962,99.9952213184	1963,99.9952071801	1964,99.9953860752	1965,99.9954055247	1966,99.9956822361	1967,99.9960562331	1968,99.9961315137	1969,99.9962193912	1970,99.9962305217	1971,99.9958896522	1972,99.9959292489	1973,99.9958691408	1974,99.9959694488	1975,99.9956058604	1976,99.9957576771	1977,99.9958519907	1978,99.995815963	1979,99.9960216647	1980,99.9960426073	1981,99.996053987	1982,99.9962127724	1983,99.9962372465	1984,99.9965066094	1985,99.996569819	1986,99.9969138796	1987,99.996945258	1988,99.9970612422	1989,99.997186544	1990,99.9972372624	1991,99.997331643	1992,99.9973437648	1993,99.9973251064	1994,99.9974050009	1995,99.9974175748	1996,99.9975527341	1997,99.9975907165	1998,99.9975685644	1999,99.9976132379	2000,99.9979466345	2001,99.9979487113	2002,99.9980603906	2003,99.9981426767	2004,99.9980827097	2005,99.9980316838	2006,99.9980485156	2007,99.9981548852	2008,99.9981452129	2009,99.9982915989	2010,99.997975228	2011,99.9978938291	2012,99.9980362762	2013,99.9979860243	2014,99.9976864146	2015,99.9973820995	2016,99.9973374857	2017,99.9972482388	2018,99.9972455391	2019,99.9970598819
caused	1895,99.9734578948	1896,99.971584124	1897,99.972052043	1898,99.9725150916	1899,99.9703732055	1900,99.9732507001	1901,99.9733217937	1902,99.9736710067	1903,99.9745173884	1904,99.9742445913	1905,99.9757395278	1906,99.9747991776	1907,99.9755035774	1908,99.9753346773	1909,99.9756321774	1910,99.9774857008	1911,99.9771439393	1912,99.9769195685	1913,99.976059234	1914,99.9759213226	1915,99.9761779956	1916,99.9763365836	1917,99.9756016963	1918,99.9751002621	1919,99.9740263235	1920,99.9757181926	1921,99.9747764611	1922,99.976326595	1923,99.9689575551	1924,99.9638660815	1925,99.9670604701	1926,99.9648046659	1927,99.9649776566	1928,99.9682614985	1929,99.9650524817	1930,99.9655140394	1931,99.9661279608	1932,99.9652123238	1933,99.96230184	1934,99.9637356829	1935,99.9642678056	1936,99.9659889862	1937,99.9658873059	1938,99.9665801325	1939,99.9659324608	1940,99.9692256354	1941,99.9688452378	1942,99.9677411095	1943,99.9672451953	1944,99.9655509937	1945,99.965798197	1946,99.9686729081	1947,99.9691121695	1948,99.9686358755	1949,99.9715893886	1950,99.9727292714	1951,99.9705204427	1952,99.9711894078	1953,99.9712512758	1954,99.9707978227	1955,99.9717206608	1956,99.9710952056	1957,99.9736156067	1958,99.97377934	1959,99.9740908309	1960,99.9749461353	1961,99.9767363638	1962,99.9762520302	1963,99.9769109381	1964,99.9771327412	1965,99.977314778	1966,99.9775779276	1967,99.9777303802	1968,99.9790324509	1969,99.9786766597	1970,99.9789610511	1971,99.9793953378	1972,99.9792499767	1973,99.9794351166	1974,99.9795785405	1975,99.9791592235	1976,99.9799138999	1977,99.9800377054	1978,99.980147347	1979,99.980774225	1980,99.9803699378	1981,99.9799570354	1982,99.9801126515	1983,99.9800016619	1984,99.9802156494	1985,99.9811679665	1986,99.9805337021	1987,99.9812015878	1988,99.9800911898	1989,99.9809639262	1990,99.9812621388	1991,99.9809122441	1992,99.9807908843	1993,99.9800198497	1994,99.9799462408	1995,99.979535498	1996,99.9803570447	1997,99.979966643	1998,99.980796621	1999,99.9797865938	2000,99.9803717659	2001,99.9803336763	2002,99.980488844	2003,99.9807382764	2004,99.9807143147	2005,99.980131783	2006,99.9800181338	2007,99.9784852652	2008,99.9781665058	2009,99.9780605331	2010,99.9741733868	2011,99.9722494623	2012,99.9769993633	2013,99.9763834847	2014,99.9711556258	2015,99.9669525245	2016,99.9665038525	2017,99.9648923653	2018,99.9660380831	2019,99.9612192031
Time	1895,99.889963335	1896,99.8852114331	1897,99.887523478	1898,99.8864647796	1899,99.8934386308	1900,99.8992614507	1901,99.8940012596	1902,99.9050688815	1903,99.9043848096	1904,99.9074575614	1905,99.9068922417	1906,99.914852586	1907,99.9175783351	1908,99.9167887172	1909,99.9193195385	1910,99.9240636138	1911,99.926504907	1912,99.9309339364	1913,99.9216506931	1914,99.9265863426	1915,99.9255819064	1916,99.9312812392	1917,99.9341877881	1918,99.9311388971	1919,99.9308638114	1920,99.9315065106	1921,99.9315288659	1922,99.9309587531	1923,99.9278772541	1924,99.9136000836	1925,99.9181794508	1926,99.9145256172	1927,99.9252687791	1928,99.9223090079	1929,99.9206555014	1930,99.9230862277	1931,99.9345973067	1932,99.9162518905	1933,99.9132392985	1934,99.9159505719	1935,99.9239827393	1936,99.9270621981	1937,99.9255151271	1938,99.9289486952	1939,99.9286674563	1940,99.9308646342	1941,99.9313785291	1942,99.9330981221	1943,99.9316486495	1944,99.9295054203	1945,99.9341776622	1946,99.9345944803	1947,99.9367188818	1948,99.9387842342	1949,99.9385520492	1950,99.9409423712	1951,99.9432624609	1952,99.9417475581	1953,99.9446164284	1954,99.9464216376	1955,99.9444687716	1956,99.9420925946	1957,99.9480477065	1958,99.950953831	1959,99.9500467623	1960,99.9549813368	1961,99.9545225307	1962,99.9551011699	1963,99.9569839441	1964,99.9583734944	1965,99.9562567661	1966,99.9590948679	1967,99.961810587	1968,99.9650423087	1969,99.96210558	1970,99.9637428781	1971,99.9670819353	1972,99.9657228348	1973,99.9643780455	1974,99.9663404189	1975,99.96769859	1976,99.9683124455	1977,99.9685961132	1978,99.9706428678	1979,99.9694880463	1980,99.9694217325	1981,99.9687447959	1982,99.9696141044	1983,99.9705773579	1984,99.9713957029	1985,99.9723717596	1986,99.9741918943	1987,99.974252889	1988,99.9720223461	1989,99.9772455575	1990,99.9745340602	1991,99.9773926322	1992,99.9766121728	1993,99.9768719566	1994,99.9774333619	1995,99.9785285146	1996,99.9786877177	1997,99.9780029119	1998,99.9792087447	1999,99.9789800328	2000,99.9785770921	2001,99.9792266316	2002,99.9794861646	2003,99.9773758808	2004,99.9772341911	2005,99.9757409238	2006,99.9756981811	2007,99.9747950356	2008,99.9734853764	2009,99.9710650802	2010,99.9657511969	2011,99.9643802523	2012,99.9661153199	2013,99.9650628212	2014,99.9578273623	2015,99.9566779687	2016,99.9549090322	2017,99.9545808206	2018,99.953379284	2019,99.9489953425
Worthless	1895,98.0100413664	1896,97.8119454042	1897,97.8768578155	1898,97.7654190489	1899,98.0862338817	1900,97.8233185879	1901,97.6980906802	1902,97.8681134726	1903,97.698393903	1904,98.1157148825	1905,98.3039935524	1906,98.4032899511	1907,98.0721315434	1908,98.7150788798	1909,98.4012939499	1910,98.8114943397	1911,98.4389743181	1912,98.5219762257	1913,98.1057183906	1914,98.3341990132	1915,98.3055829229	1916,98.0933102424	1917,98.114403014	1918,98.0560261006	1919,98.2005421719	1920,98.2645554847	1921,98.2037925048	1922,98.2651500515	1923,97.8711504821	1924,97.6450664643	1925,97.8040365219	1926,97.7624372962	1927,97.9031401046	1928,97.5735991552	1929,97.4898821048	1930,97.7016588694	1931,97.4383684978	1932,97.817081575	1933,97.4985313854	1934,97.8620254014	1935,97.3023920161	1936,97.7719559989	1937,97.7059138353	1938,97.890760967	1939,97.798603289	1940,97.759546399	1941,97.8525696884	1942,97.7649092145	1943,97.9837398569	1944,97.9106462781	1945,97.5074922775	1946,97.7054131036	1947,97.676612202	1948,97.6503706778	1949,98.1437817025	1950,97.9998198494	1951,98.1901648609	1952,98.3635028125	1953,98.4285937397	1954,98.1909792849	1955,98.0821666475	1956,97.9254696479	1957,98.314699793	1958,97.840259518	1959,97.924322755	1960,98.2872247256	1961,98.4178732753	1962,98.7865369165	1963,98.3261424462	1964,97.7913162293	1965,98.2014543429	1966,98.2768997167	1967,98.14443956	1968,98.299332165	1969,98.0164523615	1970,98.5594018066	1971,98.8080520479	1972,98.1670272403	1973,98.2149055348	1974,97.9522650175	1975,98.0098762323	1976,98.1984499764	1977,98.2721640233	1978,98.3219687082	1979,98.0860194638	1980,98.2924635205	1981,97.8447989637	1982,98.2305808585	1983,98.2646128536	1984,97.8668613511	1985,98.0475986865	1986,97.9058553539	1987,98.1445044017	1988,98.1987283163	1989,98.0526442044	1990,98.2415825481	1991,98.0324632634	1992,98.0836558608	1993,98.1431263798	1994,98.1881486061	1995,98.4207089066	1996,98.1480274956	1997,98.0484143862	1998,98.0804229573	1999,98.273827787	2000,98.3032814398	2001,98.257039502	2002,98.4955287893	2003,98.2621217965	2004,98.853395924	2005,98.322212347	2006,98.224833023	2007,98.1619610437	2008,98.3014389439	2009,98.283101845	2010,97.9278827907	2011,97.6568732805	2012,97.8298241172	2013,98.0346352944	2014,97.5857107938	2015,97.1167203618	2016,97.1654099886	2017,97.1090027043	2018,97.059891357	2019,96.3805548259
should	1895,99.9977980765	1896,99.9976534401	1897,99.9977591838	1898,99.9977756116	1899,99.9977118724	1900,99.9978852049	1901,99.9979434359	1902,99.9979964003	1903,99.9980611056	1904,99.9979441359	1905,99.998060255	1906,99.9981883529	1907,99.998132317	1908,99.9981678751	1909,99.9982047541	1910,99.9982966155	1911,99.9982695727	1912,99.9983728546	1913,99.9983619476	1914,99.9983964252	1915,99.9983827734	1916,99.9984274312	1917,99.9984071574	1918,99.9983616883	1919,99.9984512275	1920,99.9984669327	1921,99.9983522311	1922,99.9984168256	1923,99.9979924288	1924,99.9978232579	1925,99.997824748	1926,99.9978728095	1927,99.997783396	1928,99.9979650913	1929,99.9978002892	1930,99.9978618093	1931,99.9977210517	1932,99.9977535024	1933,99.9975966565	1934,99.9978398511	1935,99.9978020619	1936,99.9978186251	1937,99.9978735722	1938,99.9978487665	1939,99.9979943172	1940,99.9981176014	1941,99.9981566882	1942,99.9981457025	1943,99.9979958247	1944,99.9979735879	1945,99.9980933815	1946,99.9982293383	1947,99.9982868934	1948,99.9982487037	1949,99.9982993648	1950,99.9982381968	1951,99.9981528474	1952,99.9981567281	1953,99.9981845529	1954,99.9982271865	1955,99.9982386571	1956,99.9982148477	1957,99.9982737002	1958,99.9983253647	1959,99.9983596103	1960,99.9984123853	1961,99.9984672875	1962,99.9984625111	1963,99.998548233	1964,99.9985227346	1965,99.9985833701	1966,99.9985986205	1967,99.9986431994	1968,99.9986928402	1969,99.9986926867	1970,99.9987201306	1971,99.9987651315	1972,99.9987211357	1973,99.9987124595	1974,99.9987460507	1975,99.9987804021	1976,99.9988052234	1977,99.9988247307	1978,99.9988119401	1979,99.9988218664	1980,99.9987970921	1981,99.9988005511	1982,99.9987669492	1983,99.9987980093	1984,99.9987548311	1985,99.9987773612	1986,99.9987791172	1987,99.9987915306	1988,99.9987769332	1989,99.998798934	1990,99.9988298994	1991,99.9987885987	1992,99.9988176514	1993,99.9987277945	1994,99.9987353485	1995,99.9987493915	1996,99.9987034353	1997,99.9986303389	1998,99.9986271486	1999,99.9985844032	2000,99.9985610273	2001,99.9985185137	2002,99.9985041995	2003,99.9985429619	2004,99.9985660602	2005,99.9984690874	2006,99.9984988581	2007,99.9983985796	2008,99.9983748532	2009,99.9983275652	2010,99.9979106076	2011,99.9976160923	2012,99.9978691508	2013,99.9979012253	2014,99.9974097903	2015,99.9970443059	2016,99.9969939355	2017,99.9968248909	2018,99.9969232086	2019,99.9965165992
ever	1895,99.9909840158	1896,99.9906459051	1897,99.990383164	1898,99.9908282068	1899,99.9919469796	1900,99.9922838558	1901,99.9916023633	1902,99.991900942	1903,99.9914411663	1904,99.9911198092	1905,99.9908476822	1906,99.9910499225	1907,99.9907698562	1908,99.9907573403	1909,99.9910237706	1910,99.9915077643	1911,99.9911075263	1912,99.9911132829	1913,99.9904740952	1914,99.9903785514	1915,99.9897062244	1916,99.9905146643	1917,99.9899878464	1918,99.9897540504	1919,99.9900726222	1920,99.9904554199	1921,99.989606381	1922,99.990129897	1923,99.9880444638	1924,99.9868055942	1925,99.9871038633	1926,99.9874946981	1927,99.9869220363	1928,99.9872134841	1929,99.9870805717	1930,99.9871403105	1931,99.9854209748	1932,99.9844397004	1933,99.9824899257	1934,99.9846825809	1935,99.9856192047	1936,99.9859900431	1937,99.9857139991	1938,99.9850322624	1939,99.9843905559	1940,99.985026375	1941,99.984108418	1942,99.984194321	1943,99.9842059024	1944,99.9843106576	1945,99.9841310674	1946,99.9862160796	1947,99.9857500681	1948,99.9856181426	1949,99.9841190685	1950,99.987369608	1951,99.9867703934	1952,99.9874506009	1953,99.9861976281	1954,99.9856697578	1955,99.9862028137	1956,99.9862323187	1957,99.9863529	1958,99.9856394285	1959,99.9854387323	1960,99.9858854529	1961,99.9860586151	1962,99.9866820222	1963,99.9869738712	1964,99.9866641385	1965,99.9879969332	1966,99.9881829618	1967,99.9888742354	1968,99.9898430154	1969,99.989612159	1970,99.989305201	1971,99.9878277253	1972,99.9869411746	1973,99.9862304694	1974,99.9857945461	1975,99.9844859969	1976,99.9847103221	1977,99.9843066983	1978,99.9839009275	1979,99.9844622955	1980,99.9840658287	1981,99.9841290315	1982,99.9842345643	1983,99.9847573642	1984,99.985127149	1985,99.9851245614	1986,99.9855189735	1987,99.986136171	1988,99.986223511	1989,99.9861795143	1990,99.9863488262	1991,99.9865599935	1992,99.9865730549	1993,99.9873268761	1994,99.9868936119	1995,99.9869741821	1996,99.9883957459	1997,99.9883826332	1998,99.9884878968	1999,99.9890702755	2000,99.9909457899	2001,99.9908831612	2002,99.9914032565	2003,99.9923785699	2004,99.9928947475	2005,99.9925136693	2006,99.9927778397	2007,99.9922888127	2008,99.9928104918	2009,99.9938857224	2010,99.9916424304	2011,99.9917604742	2012,99.991497494	2013,99.9916685004	2014,99.9916761222	2015,99.9904010314	2016,99.9900370433	2017,99.9895977379	2018,99.9898612396	2019,99.9887508525
